i,Delta_post_mean,Delta_post_sd,Delta_post_q025,Delta_post_q975,Delta_true
1,0.008731937345183783,0.0845013641376727,-0.16880683207707498,0.17898280518111037,0.11452985004426897
2,-0.1226537514804555,0.06974458991884327,-0.2508531982887439,0.02195571226821688,-0.011656696977846928
3,0.10861912315488462,0.059225172694660835,0.0048218417378529405,0.23562032550814693,0.2481589907597546
4,-0.04896982656184972,0.05847140664755226,-0.16737075018508604,0.07066927550299144,0.015018934683297055
5,-0.1123231555505566,0.06186241229645212,-0.24319731494562566,0.00033712970751431854,-0.12288678235582393
6,0.12074116319622794,0.06193827936551095,0.005304691490072039,0.24432614175267686,0.22514134022991464
7,0.02798024300831324,0.06440924725560322,-0.1080405302998228,0.15093401295584535,0.09650359619952015
8,-0.08455384915396068,0.05607395400417249,-0.20203654975474358,0.020832818953842574,-0.07876155188879577
9,-0.033826903479993925,0.038683348194661155,-0.10885984331154064,0.04550770059468297,-0.029222395814061275
10,-0.27649479842332725,0.045067268010360276,-0.3742470127091804,-0.1967578807261552,-0.25
11,0.26828404763337305,0.046673817052679464,0.1891792334633094,0.3696841851668723,0.25
12,-0.12423918014082654,0.03602007097808462,-0.2006840760830364,-0.058817697373058996,-0.03933546045747988
13,0.01434713916857308,0.06111800102114977,-0.10253133033095584,0.14345052614732948,0.10198081221355902
14,0.08828887614127659,0.0855711102991409,-0.10977544156867869,0.24418283387093795,-0.32480284785132085
15,-0.02157182391912318,0.10335229593286727,-0.2097056691052942,0.18423438150633467,-0.05996192244266806
16,0.0032656284403129337,0.08388946534235552,-0.1673976065875599,0.16667769884044006,-0.040870237168010526
17,-0.04992978469713003,0.05881462235404312,-0.1697382060024895,0.06205530309275303,-0.111415631877932
18,-0.09605030309902497,0.05575478418443196,-0.21581505032788928,0.00233666558948753,-0.15762874463159016
19,0.1546472481928261,0.045713100448670364,0.07962300376868246,0.2575025891235305,0.14748764853833468
20,-0.010786628911621857,0.06945026305049165,-0.16065543583861322,0.1140102949592796,-0.08997154792849357
